City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,komsomolskiy,40.4272,71.7189,274.55,69,75,1.03,UZ,1670343370
120,georgetown,5.4112,100.3354,300.9,87,40,2.57,MY,1670343371
121,chokurdakh,70.6333,147.9167,234.78,100,81,1.3,RU,1670343371
122,berlevag,70.8578,29.0864,276.12,87,100,10.29,NO,1670343373
123,provideniya,64.3833,-173.3,269.08,78,100,4.78,RU,1670343140
124,kawalu,-7.3817,108.2082,296.03,98,100,0.3,ID,1670343374
125,alofi,-19.0595,-169.9187,294.09,100,29,0.51,NU,1670343375
126,kibala,9.1104,18.3463,305.12,27,0,2.57,TD,1670343375
127,patterson,37.4716,-121.1297,281.49,92,100,0.57,US,1670343376
128,charyshskoye,51.3978,83.5598,256.56,98,100,0.16,RU,1670343376
129,chuy,-33.6971,-53.4616,300.89,45,0,3.34,UY,1670343377
130,saskylakh,71.9167,114.0833,250.38,100,100,1.06,RU,1670343378
131,richards bay,-28.783,32.0377,294.62,74,84,3.35,ZA,1670343196
132,katav-ivanovsk,54.7531,58.1956,253.15,99,6,1.48,RU,1670343380
133,aklavik,68.2191,-135.0107,250.13,84,100,6.6,CA,1670343381
134,taseyevo,57.2169,94.8978,260.12,90,100,4.99,RU,1670343382
135,castrovillari,39.8203,16.2123,282.76,68,42,0.77,IT,1670343382
136,groton,41.3501,-72.0784,287.54,82,0,7.2,US,1670343378
137,west wendover,40.7391,-114.0733,270.71,93,100,3.09,US,1670343384
138,katobu,-4.9408,122.5276,297.14,90,64,1.11,ID,1670343385
139,anadyr,64.75,177.4833,262.43,78,20,7.0,RU,1670343386
140,koumac,-20.5667,164.2833,298.85,87,90,1.4,NC,1670343387
141,bandarbeyla,9.4942,50.8122,298.67,71,61,7.41,SO,1670343387
142,pathein,16.7833,94.7333,297.69,80,100,1.96,MM,1670343388
143,broome,42.2506,-75.833,281.09,83,100,2.24,US,1670343388
144,svetlogorsk,52.6333,29.7333,265.84,87,77,5.49,BY,1670343389
145,nemuro,43.3236,145.575,275.71,64,100,4.46,JP,1670343389
146,kruisfontein,-34.0033,24.7314,294.2,60,1,4.32,ZA,1670343390
147,cabo san lucas,22.8909,-109.9124,299.32,69,20,0.0,MX,1670343390
148,piacabucu,-10.4056,-36.4344,301.38,66,54,4.49,BR,1670343391
149,touros,-5.1989,-35.4608,302.87,57,67,5.82,BR,1670343391
150,grindavik,63.8424,-22.4338,276.41,93,100,1.54,IS,1670343392
151,severnyy,50.677,36.5532,265.17,62,0,5.0,RU,1670343392
152,bambous virieux,-20.3428,57.7575,298.29,83,75,2.06,MU,1670343392
153,hami,42.8,93.45,268.48,36,95,0.2,CN,1670343393
154,vrangel,42.7297,133.0839,270.91,52,60,9.78,RU,1670343393
155,semey,50.4111,80.2275,247.83,99,24,1.54,KZ,1670343394
156,tianpeng,30.9866,103.9393,283.0,73,65,1.8,CN,1670343394
157,axim,4.8699,-2.2405,301.53,72,82,4.52,GH,1670343394
158,roma,43.2128,-75.4557,277.52,95,100,2.06,US,1670343331
159,airai,-8.9266,125.4092,288.72,71,50,0.63,TL,1670343395
160,lima,-12.0432,-77.0282,295.29,64,0,4.12,PE,1670343363
161,qaanaaq,77.484,-69.3632,272.96,70,100,5.35,GL,1670343395
162,tuktoyaktuk,69.4541,-133.0374,246.44,82,55,6.65,CA,1670343396
163,mendi,-6.1761,143.6513,286.85,99,100,0.18,PG,1670343396
164,dharampur,20.5333,73.1833,297.0,66,0,1.44,IN,1670343397
165,marzuq,14.4,46.4667,292.48,66,31,2.96,YE,1670343397
166,broken hill,-31.95,141.4333,297.0,30,100,6.44,AU,1670343397
167,sabha,27.0377,14.4283,297.62,13,3,4.21,LY,1670343398
168,mahebourg,-20.4081,57.7,298.31,83,75,2.06,MU,1670343398
169,morgantown,39.6295,-79.9559,283.76,92,100,1.54,US,1670343399
170,sarangani,5.4033,125.4636,301.31,72,86,7.11,PH,1670343399
171,alur,12.9833,75.9833,292.71,58,57,2.99,IN,1670343399
